Terminal,RT,Data,Leve,Moderada,Grave,Processo,Rancho outras não conformidades,RT do material não programada,Peso não conforme (dentro do dimensionamento),Dados divergentes/Faltantes,Outros - Leve,Material faltando etiqueda de identificação,Material faltando ficha de emergência,Rancho com temperatura não conforme,Eslinga com comprimento fora do padrão,Lacre faltante / Danificado / Divergente,Contentor/Equip. inadequado,Outros - Moderado,Ausência de eslingas,Eslinga a vencer (LOAD),Químico RT carga comum,Radioativo com identificação inadequada,explosivo com identificação inadequada,Peso não conforme (fora do dimensional),Contentor/Equip. danificado - com risco,Contentor/Equip. sem placa/ilegível,Acondicionamento inadequado,Manilha não conforme,Bobina com avaria (ancoragem),Eslinga danificada,Contentor/Equip. vencido,Vazamento de material/produto,Material não unitizado,Eslinga vencidda,Drops,Eslinga sem etiqueta,Outros - Grave,Embarcação,Tipo de Equipamento,Descrição da Não Conformidade,Parecer da Fiscalização,Equipamento,Apeação,Assinado
Publico,323525160,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL FORA DO PADRÃO. O MESMO DESEMBARCOU COM A PLAQUETA DA ESLINGA VENCIDA. PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades, Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Publico,323722930,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,KUDU,nan,, ACIONAR O SMS PARA ABERTURA DE DESVIO,nan,Não,Sim
Publico,323826804,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Moderada,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL INTERNO ULTRAPASSA O CONTAINER PARECER FISCALIZAÇÃO Peso não conforme (dentro do dimensionamento), Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Privado,323818086,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,SANTOS  SAILOR,nan, SKID COM APEAÇÃO FORA DO PADRÃO PARECER FISCALIZAÇÃO Peso não conforme (dentro do dimensionamento), Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes,nan,Sim,Sim
Privado,323759532,01/02/2024,Não,Não,Sim,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,BRAM HERO,nan, MATERIAL DESEMBARCOU COM A APEAÇÃO FORA DO PADRÃO PT-BR, DE ACORDO. INSERIR RNCC E A INFORMAÇÃO NA RT E CAMPO DE OBSERVAÇÃO.,nan,Sim,Sim
Privado,323827205,01/02/2024,Não,Não,Sim,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,FULMAR,nan, MATERIAL DESEMBARCOU COM O CANTO LISO, CONTAINER NÃO PODERÁ REEMBARCAR DEVIDO CANTO ISO. SOLICITAR COLETA IMEDIATA JUNTO AO FORNECEDOR.,nan,Não,Sim
Publico,323816476,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Privado,323792308,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,PETREL EMBALAGEM: TIPO DE EQUIP:,nan, MATERIAL COM BOLSA DANIFICADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do, Peso não conforme (dentro do Dados divergentes/Faltantes Contentor/Equip. a vencer,CONT.SER0000049 ESL.00118 ÁGUA,Não,Sim
Publico,323793609,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,SANTOS SAILOR EMBALAGEM: TIPO DE EQUIP:,nan, ESLINGA COM TAMANHO FORA DO PADRÃO (GRANDE) PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),CONTAINER H550,Não,Sim
Privado,323720362,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Privado,323778965,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,BRAM BRASIL EMBALAGEM: TIPO DE EQUIP:,nan, MATERIAL FORA DO PADRÃO. PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades, Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Publico,323780163,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Moderada,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,SPRINGBOK EMBALAGEM: TIPO DE EQUIP:,BAG, ALÇA CURTA DO BAG PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),-,Não,Sim
Publico,323803208,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan," SEM PLAQUETA DE VALIDADE PARECER FISCALIZAÇÃO NO PORTO, A MOVIMENTAÇÃO SERÁ APENAS COM EMPILHADEIRA Peso não conforme (dentro do Rancho outras não conformidades"," NO PORTO, A MOVIMENTAÇÃO SERÁ APENAS COM EMPILHADEIRA Peso não conforme (dentro do Rancho outras não conformidades dimensionamento)",nan,Não,Sim
Privado,323818086,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,SANTOS  SAILOR,nan, SKID COM APEAÇÃO FORA DO PADRÃO PARECER FISCALIZAÇÃO Peso não conforme (dentro do dimensionamento), Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes,nan,Sim,Sim
Privado,323802910,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL FORA DO PADRÃO. PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades, Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Privado,323802910,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL FORA DO PADRÃO. PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades, Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Publico,323797257,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,SPRINGBOK EMBALAGEM: TIPO DE EQUIP:,nan, ESLINGA COM TAMANHO FORA DO PADRÃO (GRANDE) PARECER FISCALIZAÇÃO FAZER A AMARRAÇÃO DA ESLINGA Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), FAZER A AMARRAÇÃO DA ESLINGA Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,POTÊNCIA HIDRÁULICA,Não,Sim
Privado,323676850,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL DESEMBARCOU COM A TAMPA DO REFIL DANIFICADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Publico,323868915,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL  COM ESLINGA VENCIDA PARECER FISCALIZAÇÃO Peso não conforme (dentro do dimensionamento), Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Publico,323877806,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan,,,nan,Não,Sim
Publico,323890173,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,BRAM BUCCANER,nan,,,nan,Não,Sim
Publico,323805350,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,ARVORE DE NATAL,nan,, Peso não conforme (dentro do Rancho outras não conformidades Outros - Leve dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD) Ausência de eslingas,nan,Não,Sim
Privado,323614149,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,STARNAV ANDROMEDA,nan,,,nan,Não,Sim
Privado,323708424,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,CAMPOS CHALLENGER EMBALAGEM: TIPO DE EQUIP:,nan, PORTA AVARIADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),UHP-BHJ-B010,Não,Sim
Publico,323749345,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Publico,323690513,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO U.M. E RETORNAR ANTES DO VENCIMENTO Peso não conforme (dentro do Rancho outras não conformidades, U.M. E RETORNAR ANTES DO VENCIMENTO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento),nan,Não,Sim
Privado,323614149,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,STARNAV ANDROMEDA,nan,,,nan,Não,Sim
Publico,323728423,01/02/2024,Não,Não,Sim,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,CAMPOS CARRIER,nan," CONFORME ALINHAMENTO COM A FISCALIZAÇÃO, O RESÍDUO PIROTÉCNICO PERMANECERÁ SOBRE CARRETA PLANO B",,nan,Não,Sim
Privado,323614645,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,STARNAV CYGNUS,nan,,,nan,Não,Sim
Publico,323708424,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,CAMPOS CHALLENGER EMBALAGEM: TIPO DE EQUIP:,nan, PORTA AVARIADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),UHP-BHJ-B010,Não,Sim
Publico,323699456,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,STARNAV CIRCINUS EMBALAGEM: TIPO DE EQUIP:,COMPRESSOR, O COMPRESSOR APRESENTOU AVARIAS NAS PORTAS E MAÇANETA PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Publico,323636921,01/02/2024,Não,Sim,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Moderada,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,STARNAVE CETAURUS,nan, MATERIAL DESEMBARCOU SEM LACRE. MATERIAL SE ENCONTRA COM LACRE TRIUNFO (000712),,nan,Não,Sim
Publico,323738786,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO CARGA APTA Peso não conforme (dentro do Rancho outras não conformidades, CARGA APTA Peso não conforme (dentro do Rancho outras não conformidades dimensionamento),nan,Não,Sim
Privado,323732786,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,OT20 SN H550,Não,Sim
Publico,323702369,01/02/2024,Não,Não,Sim,Load,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,nan,nan," DURANTE O DESCARREGAMENTO DA FRENTE 603771, MANCHUR, FOI IDENTIFICADO QUE OS FUEIROS (4un) DAS TAMPAS, ESTÃO PRESOS AO EQUIPAMENTO UNIDADE CRIOGÊNICA UN-05 1226322 RT 323702369 1/1 .EM AVALIAÇÃO CONJUNTA FEITA PELA OPERADORA, SMS  E FISCALIZAÇÃO BR, FOI CONSTATADO QUE EXISTE GRANDE RISCO DE AVARIAR OS FUEIROS E CONSEQUENTEMENTE , POR EM RISCO NOSSA OPERAÇÃO.", Ciente e de acordo. Gentileza retornar ao cliente com as fotos e justificativa da recusa do material.,nan,Não,Sim
Publico,323692871,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,, Peso não conforme (dentro do Rancho outras não conformidades RT do material não programada Dados divergentes/Faltantes,NA,Não,Sim
Privado,323614645,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,STARNAV CYGNUS,nan,,,nan,Não,Sim
Publico,323720569,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,BRAM BOA VISTA,nan, BAG'S COM A ALÇA CURTA QUE PODERÁ IMPÁCTAR NO TEMPO DE LINGADA.,,nan,Não,Sim
Publico,323732786,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,OT20 SN H550,Não,Sim
Privado,323679591,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,CAÇAMBA 0928,CAÇAMBA 0928, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,CONT BRZU 2000806,Não,Sim
Publico,323637574,01/02/2024,Não,Sim,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Moderada,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,STARNAVE CETAURUS,nan, MATERIAL DESEMBARCOU SEM LACRE. MATERIAL SE ENCONTRA COM LACRE TRIUNFO (000740),,nan,Não,Sim
Publico,323729693,01/02/2024,Não,Não,Sim,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,CBO COPACABANA,nan," DURANTE A DESCIDA DA CESTA MLTU 150051-9, NO COSTADO (BERÇO 01), A CESTA DESCEU SOBRE A GRADE DO SKID SU-7505.", ENVIAR INFORME E NOTIFICAR AO FORNECEDOR SOBRE A AVARIA,nan,Não,Sim
Privado,323684712,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,LARUS EMBALAGEM: TIPO DE EQUIP:,nan, CONTENTOR ESTÁ SEM A PLAQUETA DA ESLINGA INFORMANDO A VALIDADE PARECER FISCALIZAÇÃO CIENTE Peso não conforme (dentro do, CIENTE Peso não conforme (dentro do Dados divergentes/Faltantes Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Publico,323826766,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,BRAM BREEZE EMBALAGEM: N/A TIPO DE EQUIP:,nan, PARECER FISCALIZAÇÃO Favor não receber o material Peso não conforme (dentro do Rancho outras não conformidades, Favor não receber o material Peso não conforme (dentro do Rancho outras não conformidades dimensionamento),TUBO REV 110 S/C 18,Não,Sim
Publico,323716285,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,, Peso não conforme (dentro do Rancho outras não conformidades RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD) Material faltando ficha de emergência Lacre faltante / Danificado / Divergente,nan,Não,Sim
Publico,323716286,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,, Peso não conforme (dentro do Rancho outras não conformidades RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD) Material faltando ficha de emergência Lacre faltante / Danificado / Divergente,nan,Não,Sim
Privado,323731366,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,, Peso não conforme (dentro do Dados divergentes/Faltantes Contentor/Equip. a vencer (LOAD),NA,Não,Sim
Publico,323708787,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,," FISCALIZAÇÃO SOLICITA A RECUSA DA CARGA, DEVIDO A DIVERGÊNCIA. Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD)",NA,Não,Sim
Publico,323749345,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Publico,323723785,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL DESEMBARCOU COM A MACANETA QUEBRADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Publico,323652568,01/02/2024,Não,Não,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,BRAM HERO,nan, MATERIAL SEM PLAQUETA DE IDENTIFICAÇÃO DA ESLINGA,,nan,Não,Sim
Publico,323645035,01/02/2024,Não,Sim,Não,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Moderada,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,STARNAVE CETAURUS,nan, MATERIAL DESEMBARCOU SEM LACRE. MATERIAL SE ENCONTRA COM LACRE TRIUNFO (000711),,nan,Não,Sim
Publico,508659851,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,,,, o container trata-se de extensão de convés Peso não conforme (dentro do Dados divergentes/Faltantes Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Publico,323722358,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, CONTENTOR COM VAZAMENTO PARECER FISCALIZAÇÃO MITIGAR O LOCAL E COLOCAR O CONTENTOR NA CESTA DE CONTENÇÃO. Peso não conforme (dentro do dimensionamento), MITIGAR O LOCAL E COLOCAR O CONTENTOR NA CESTA DE CONTENÇÃO. Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes,nan,Não,Sim
Privado,323759229,2024-02-01 00:00:00,Não,Sim,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Moderada,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,"PINGUI,",CONT MLTU 2905363, Eslinga com comprimento fora do padrão .,,nan,Não,Não
